,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,Family,Family_label,Deck,Ticket_Class,Surname,FamilyGroup
91,92,0.0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542,Unknown,S,Mr,1,1,U,1,Andreasson,1
92,93,0.0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,E31,S,Mr,2,2,E,2,Chaffee,2
93,94,0.0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,Unknown,S,Mr,4,2,U,2,Dean,4
94,95,0.0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,Unknown,S,Mr,1,1,U,1,Coxon,1
95,96,0.0,3,"Shorney, Mr. Charles Joseph",male,28.226255994772455,0,0,374910,8.05,Unknown,S,Mr,1,1,U,1,Shorney,1
96,97,0.0,1,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,34.6542,A5,C,Mr,1,1,A,1,Goldschmidt,1
97,98,1.0,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,D10 D12,C,Mr,2,2,D,2,Greenfield,2
98,99,1.0,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,Unknown,S,Mrs,2,2,U,2,Doling,2
99,100,0.0,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,Unknown,S,Mr,2,2,U,2,Kantor,2
100,101,0.0,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,Unknown,S,Miss,1,1,U,1,Petranec,1
101,102,0.0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,28.226255994772455,0,0,349215,7.8958,Unknown,S,Mr,1,1,U,1,Petroff,2
102,103,0.0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,D26,S,Mr,2,2,D,2,White,3
103,104,0.0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,Unknown,S,Mr,1,1,U,1,Johansson,4
104,105,0.0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,Unknown,S,Mr,3,2,U,1,Gustafsson,4
105,106,0.0,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,7.8958,Unknown,S,Mr,1,1,U,1,Mionoff,1
106,107,1.0,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120,7.65,Unknown,S,Miss,1,1,U,1,Salkjelsvik,1
107,108,1.0,3,"Moss, Mr. Albert Johan",male,28.226255994772455,0,0,312991,7.775,Unknown,S,Mr,1,1,U,1,Moss,1
108,109,0.0,3,"Rekic, Mr. Tido",male,38.0,0,0,349249,7.8958,Unknown,S,Mr,1,1,U,1,Rekic,1
109,110,1.0,3,"Moran, Miss. Bertha",female,17.333729506491817,1,0,371110,24.15,Unknown,Q,Miss,2,2,U,2,Moran,3
110,111,0.0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,C110,S,Mr,1,1,C,2,Porter,1
111,112,0.0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,Unknown,C,Miss,2,2,U,2,Zabour,2
112,113,0.0,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,Unknown,S,Mr,1,1,U,1,Barton,1
113,114,0.0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,Unknown,S,Miss,2,2,U,1,Jussila,3
114,115,0.0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,Unknown,C,Miss,1,1,U,2,Attalah,2
115,116,0.0,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294,7.925,Unknown,S,Mr,1,1,U,1,Pekoniemi,1
116,117,0.0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,Unknown,Q,Mr,1,1,U,1,Connors,1
117,118,0.0,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,Unknown,S,Mr,2,2,U,2,Turpin,2
118,119,0.0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,B58 B60,C,Mr,2,2,B,2,Baxter,2
119,120,0.0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082,31.275,Unknown,S,Miss,7,1,U,1,Andersson,11
120,121,0.0,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879,73.5,Unknown,S,Mr,3,2,U,1,Hickman,3
121,122,0.0,3,"Moore, Mr. Leonard Charles",male,28.226255994772455,0,0,A4. 54510,8.05,Unknown,S,Mr,1,1,U,1,Moore,2
122,123,0.0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,Unknown,C,Mr,2,2,U,2,Nasser,2
123,124,1.0,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13.0,E101,S,Miss,1,1,E,1,Webber,2
124,125,0.0,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,D26,S,Mr,2,2,D,2,White,3
125,126,1.0,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,Unknown,C,Master,2,2,U,2,Nicola-Yarred,2
126,127,0.0,3,"McMahon, Mr. Martin",male,28.226255994772455,0,0,370372,7.75,Unknown,Q,Mr,1,1,U,1,McMahon,1
127,128,1.0,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369,7.1417,Unknown,S,Mr,1,1,U,1,Madsen,1
128,129,1.0,3,"Peter, Miss. Anna",female,17.333729506491817,1,1,2668,22.3583,F E69,C,Miss,3,2,F,2,Peter,3
129,130,0.0,3,"Ekstrom, Mr. Johan",male,45.0,0,0,347061,6.975,Unknown,S,Mr,1,1,U,1,Ekstrom,1
130,131,0.0,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,7.8958,Unknown,C,Mr,1,1,U,1,Drazenoic,1
131,132,0.0,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,SOTON/O.Q. 3101307,7.05,Unknown,S,Mr,1,1,U,1,Coelho,1
132,133,0.0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337,14.5,Unknown,S,Mrs,2,2,U,2,Robins,2
133,134,1.0,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,Unknown,S,Mrs,2,2,U,2,Weisz,2
134,135,0.0,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,13.0,Unknown,S,Mr,1,1,U,1,Sobey,1
135,136,0.0,2,"Richard, Mr. Emile",male,23.0,0,0,SC/PARIS 2133,15.0458,Unknown,C,Mr,1,1,U,1,Richard,1
136,137,1.0,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752,26.2833,D47,S,Miss,3,2,D,1,Newsom,1
137,138,0.0,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,53.1,C123,S,Mr,2,2,C,2,Futrelle,2
138,139,0.0,3,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534,9.2167,Unknown,S,Mr,1,1,U,2,Osen,1
139,140,0.0,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,79.2,B86,C,Mr,1,1,B,2,Giglio,1
140,141,0.0,3,"Boulos, Mrs. Joseph (Sultana)",female,32.49434306285119,0,2,2678,15.2458,Unknown,C,Mrs,3,2,U,2,Boulos,4
141,142,1.0,3,"Nysten, Miss. Anna Sofia",female,22.0,0,0,347081,7.75,Unknown,S,Miss,1,1,U,1,Nysten,1
142,143,1.0,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,STON/O2. 3101279,15.85,Unknown,S,Mrs,2,2,U,2,Hakkarainen,2
143,144,0.0,3,"Burke, Mr. Jeremiah",male,19.0,0,0,365222,6.75,Unknown,Q,Mr,1,1,U,1,Burke,1
144,145,0.0,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945,11.5,Unknown,S,Mr,1,1,U,1,Andrew,2
145,146,0.0,2,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,C.A. 33112,36.75,Unknown,S,Mr,3,2,U,2,Nicholls,1
146,147,1.0,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043,7.7958,Unknown,S,Mr,1,1,U,1,Andersson,11
147,148,0.0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2,2,W./C. 6608,34.375,Unknown,S,Miss,5,1,U,1,Ford,6
148,149,0.0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26.0,F2,S,Mr,3,2,F,2,Navratil,3
149,150,0.0,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310,13.0,Unknown,S,Officer,1,1,U,1,Byles,1
150,151,0.0,2,"Bateman, Rev. Robert James",male,51.0,0,0,S.O.P. 1166,12.525,Unknown,S,Officer,1,1,U,1,Bateman,1
151,152,1.0,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,113776,66.6,C2,S,Mrs,2,2,C,2,Pears,2
152,153,0.0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,Unknown,S,Mr,1,1,U,1,Meo,1
153,154,0.0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,Unknown,S,Mr,3,2,U,2,van Billiard,3
154,155,0.0,3,"Olsen, Mr. Ole Martin",male,28.226255994772455,0,0,Fa 265302,7.3125,Unknown,S,Mr,1,1,U,1,Olsen,4
155,156,0.0,1,"Williams, Mr. Charles Duane",male,51.0,0,1,PC 17597,61.3792,Unknown,C,Mr,2,2,U,2,Williams,5
156,157,1.0,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,35851,7.7333,Unknown,Q,Miss,1,1,U,1,Gilnagh,1
157,158,0.0,3,"Corn, Mr. Harry",male,30.0,0,0,SOTON/OQ 392090,8.05,Unknown,S,Mr,1,1,U,1,Corn,1
158,159,0.0,3,"Smiljanic, Mr. Mile",male,28.226255994772455,0,0,315037,8.6625,Unknown,S,Mr,1,1,U,1,Smiljanic,1
159,160,0.0,3,"Sage, Master. Thomas Henry",male,6.035598611570747,8,2,CA. 2343,69.55,Unknown,S,Master,11,0,U,0,Sage,11
160,161,0.0,3,"Cribb, Mr. John Hatfield",male,44.0,0,1,371362,16.1,Unknown,S,Mr,2,2,U,2,Cribb,2
161,162,1.0,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,C.A. 33595,15.75,Unknown,S,Mrs,1,1,U,2,Watt,2
162,163,0.0,3,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068,7.775,Unknown,S,Mr,1,1,U,1,Bengtsson,1
163,164,0.0,3,"Calic, Mr. Jovo",male,17.0,0,0,315093,8.6625,Unknown,S,Mr,1,1,U,1,Calic,2
164,165,0.0,3,"Panula, Master. Eino Viljami",male,1.0,4,1,3101295,39.6875,Unknown,S,Master,6,1,U,1,Panula,6
165,166,1.0,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,363291,20.525,Unknown,S,Master,3,2,U,2,Goldsmith,4
166,167,1.0,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,43.11469647488398,0,1,113505,55.0,E33,S,Mrs,2,2,E,2,Chibnall,1
167,168,0.0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1,4,347088,27.9,Unknown,S,Mrs,6,1,U,1,Skoog,6
168,169,0.0,1,"Baumann, Mr. John D",male,41.51911940270861,0,0,PC 17318,25.925,Unknown,S,Mr,1,1,U,1,Baumann,1
169,170,0.0,3,"Ling, Mr. Lee",male,28.0,0,0,1601,56.4958,Unknown,S,Mr,1,1,U,1,Ling,1
170,171,0.0,1,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240,33.5,B19,S,Mr,1,1,B,1,Van der hoef,1
171,172,0.0,3,"Rice, Master. Arthur",male,4.0,4,1,382652,29.125,Unknown,Q,Master,6,1,U,1,Rice,6
172,173,1.0,3,"Johnson, Miss. Eleanor Ileen",female,1.0,1,1,347742,11.1333,Unknown,S,Miss,3,2,U,2,Johnson,6
173,174,0.0,3,"Sivola, Mr. Antti Wilhelm",male,21.0,0,0,STON/O 2. 3101280,7.925,Unknown,S,Mr,1,1,U,1,Sivola,1
174,175,0.0,1,"Smith, Mr. James Clinch",male,56.0,0,0,17764,30.6958,A7,C,Mr,1,1,A,1,Smith,6
175,176,0.0,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404,7.8542,Unknown,S,Mr,3,2,U,1,Klasen,3
176,177,0.0,3,"Lefebre, Master. Henry Forbes",male,6.035598611570747,3,1,4133,25.4667,Unknown,S,Master,5,1,U,1,Lefebre,5
177,178,0.0,1,"Isham, Miss. Ann Elizabeth",female,50.0,0,0,PC 17595,28.7125,C49,C,Miss,1,1,C,1,Isham,1
178,179,0.0,2,"Hale, Mr. Reginald",male,30.0,0,0,250653,13.0,Unknown,S,Mr,1,1,U,1,Hale,1
179,180,0.0,3,"Leonard, Mr. Lionel",male,36.0,0,0,LINE,0.0,Unknown,S,Mr,1,1,U,2,Leonard,1
180,181,0.0,3,"Sage, Miss. Constance Gladys",female,17.333729506491817,8,2,CA. 2343,69.55,Unknown,S,Miss,11,0,U,0,Sage,11
181,182,0.0,2,"Pernot, Mr. Rene",male,32.535640595957396,0,0,SC/PARIS 2131,15.05,Unknown,C,Mr,1,1,U,1,Pernot,1
182,183,0.0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4,2,347077,31.3875,Unknown,S,Master,7,1,U,1,Asplund,8
183,184,1.0,2,"Becker, Master. Richard F",male,1.0,2,1,230136,39.0,F4,S,Master,4,2,F,2,Becker,4
184,185,1.0,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0,2,315153,22.025,Unknown,S,Miss,3,2,U,2,Kink-Heilmann,3
